trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1927:20260418,17:09:00,17:09:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1930:20260509,17:07:00,17:07:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1857:20260515,15:46:00,15:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1930:20260502,17:08:00,17:08:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1908:20260827,16:40:00,16:40:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1900:20260828,16:42:00,16:42:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1900:20260731,16:42:00,16:42:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12274F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:3:1908:20260824,16:37:00,16:37:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12275F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1717:20260517,17:17:00,17:17:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12275F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1714:20260628,17:14:00,17:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260702,06:46:00,06:46:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260509,06:42:00,06:42:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:1014:20260514,07:15:00,07:15:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260512,06:43:00,06:43:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12276F1187_F:OUI:OCESN-87581009-87391003:87581009:87391003:2:855:20260328,06:45:00,06:45:00,StopPoint:OCETGV INOUI-87581009,0,,0,1,
OCESN12277F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260807,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
OCESN12277F1187_F:OUI:OCESN-87391003-87581009:87391003:87581009:2:1314:20260828,13:14:00,13:14:00,StopPoint:OCETGV INOUI-87581009,1,,1,0,
